Complex1676;PhysicalEntity178	Complex1676;PhysicalEntity183;SmallMolecule5
Complex381;Complex901;Complex903;Complex904;Complex906;PhysicalEntity188;Protein1753	Complex1692
Complex381;Complex904;Complex906;PhysicalEntity189	Complex1693
Complex381;Complex901;Complex903;Complex904;Complex906;PhysicalEntity190;Protein1753	Complex1694
Complex930	Protein1790;Protein1793
Complex946	Protein1813;Protein1814
Complex944	Protein1805;Protein1806
Protein8	Complex41
Complex237;SmallMolecule19	Complex236;SmallMolecule13
Complex932	Protein1794;Protein1795;Protein1796;Protein1797
Complex954	Protein1798;Protein1815
Complex945	Complex946;Protein1807
Complex1697	Complex1695
Complex1695	Complex1697
Complex1698	Complex1697
Complex1697	Complex1698
Complex1702	Complex1699
Complex1703	Complex1698
Complex1696;Complex383;Complex930;Complex932;Complex939;Complex944;Complex945;Complex954;PhysicalEntity192;Protein1792;Protein1803;Protein1804;SmallMolecule5	Complex1697
Complex228;Protein502	Complex237
Complex1705	Complex1704
Complex1708	Complex903;PhysicalEntity194
Complex1707	Complex1708;Complex901;Protein1753
Complex1706	Complex1707;Complex381
Complex1709	Complex1706;Complex906
Complex1705	Complex1709;Complex904
Complex1704;SmallMolecule3;SmallMolecule4	Complex1705;SmallMolecule2
Complex1710	Complex1704;SmallMolecule5
Complex1711	Complex1710
Complex1692;SmallMolecule422	Complex1711
Complex1712;SmallMolecule422	Complex1692;SmallMolecule5
Complex1713;Protein1753;SmallMolecule422	Complex1712;SmallMolecule5
Complex1714;Complex901;Complex903;Complex906;SmallMolecule422	Complex1713;SmallMolecule5
Complex1715;SmallMolecule422	Complex1714;SmallMolecule5
Complex1716;SmallMolecule422	Complex1715;SmallMolecule5
Complex1717	Complex1716
Complex1718	Complex1717
Complex1719	Complex1718;Protein1789
Complex1720	Complex1719
Complex1721	Complex1720;Protein1790;Protein1791
Complex238	PhysicalEntity20;Protein509
Complex1701;Complex904	Complex1722;Complex904;Protein1792
Complex1700	Complex1701;Complex930
Complex1699;SmallMolecule5	Complex1700;Complex932;SmallMolecule5
Complex1723;Complex384	Complex1699;Complex954
Complex1724	Complex1696;Complex1723;Complex904;Complex944;Complex945;Protein1803;Protein1804
Complex1697;Complex904	Complex1724;SmallMolecule5
Complex1725;SmallMolecule5	Complex1697;SmallMolecule5
Complex1726	Complex1725
Complex1732;Complex1733;Complex1735;Complex1739	Complex1727
Complex1742;Complex1746	Complex1741
Complex241	Complex239;PhysicalEntity19
Complex1742;Complex1748	Complex1747
Complex1732;Complex1733;Complex1735;Complex1753;PhysicalEntity215	Complex1749
Complex1754	Complex1721;PhysicalEntity171;PhysicalEntity216
Complex1755;SmallMolecule3	Complex1754
Complex1756;SmallMolecule423	Complex1755;SmallMolecule7
Complex1758	Complex1756
Complex1759	Complex1758
Complex1079;Complex1760;Complex904;Protein1790;SmallMolecule513	Complex1759;SmallMolecule512
Complex1722	Complex1079;Complex384
Complex384	Protein657;Protein658
Complex242	Protein510
Complex1761	Complex1722
Complex1763	Complex1761;Protein3531;Protein3532;Protein3533;Protein3534;Protein3535;Protein3536;Protein3537;Protein3538;Protein3539;Protein3540;Protein3541;Protein3542;Protein3543;Protein3544;Protein3545;Protein3546;Protein3547;Protein3548
Complex1767	Complex1763;Complex1764;Complex1766;Protein3467;Protein3468;Protein3469;Protein3470;Protein3479;Protein3480;Protein3493;Protein3512;Protein3513;Protein3514;Protein3516;Protein3549;Protein3557;Protein3558;Protein3559;Protein3560;Protein3561;Protein3562;Protein3563;Protein3564;Protein3565;Protein3567;Protein3568
Complex1773;Protein3561	Complex1767;Complex1768;Complex1772;Protein3466;Protein3515;Protein3517;Protein3519;Protein3570;Protein3593;Protein3594;Protein3604;Protein3605
Complex1781;Protein3558	Complex1773;Complex1774;Protein3606;Protein3607;Protein3630;Protein3631;Protein3632;Protein3633;Protein3634;Protein3635;Protein3636;Protein3637;Protein967
Complex1731	Complex1732;Complex1733;Complex1734;Complex1735;Protein2166;Protein3486
