#Tail	Head	PosReg	NegReg	ID
None	pid_147844	None	pid_147848	pid_147843
None	pid_16257	pid_144970	pid_144805	pid_144968
pid_5581	pid_5213	pid_4780;pid_5064	None	pid_5580
None	pid_94917	pid_15974;pid_94889;pid_2743	None	pid_94916
pid_22287;pid_22301;pid_22304;pid_22307;pid_22310;pid_22313;pid_22316;pid_22319	pid_22322	None	None	pid_22286
pid_26495	pid_27040	pid_27047	None	pid_27039
pid_122049	pid_122225	pid_4936	None	pid_122224
None	pid_122956	pid_122912	None	pid_122955
pid_25011;pid_3114	pid_27808;pid_3119	pid_28180	pid_28182	pid_28174
pid_109586;pid_14308	pid_109481	None	None	pid_109860
None	pid_35272	pid_58383	None	pid_058382
pid_79399	pid_158444	pid_158448	None	pid_158443
pid_162290;pid_162293;pid_18498	pid_162296	None	None	pid_162289
None	pid_5603	pid_115885	None	pid_0116154
None	pid_133769	pid_121434	None	pid_133768
None	pid_142555	pid_142217	None	pid_0142557
None	pid_153671	pid_153642	None	pid_0153717
pid_36488	pid_45330	pid_42127;pid_18180	None	pid_45411
pid_14437;pid_3114	pid_14471;pid_3119	pid_14047	None	pid_14713
None	pid_110578	pid_118685	None	pid_0118684
None	pid_16000	pid_15955	None	pid_15999
pid_21554;pid_21623;pid_9054	pid_21622;pid_21738	None	None	pid_21737
None	pid_15993	pid_15955	None	pid_15992
pid_7474;pid_7971	pid_7970	None	None	pid_7988
None	pid_10409	pid_33092	None	pid_0125897
pid_12116;pid_35048	pid_35054	pid_34579	None	pid_35047
pid_104764	pid_104673	pid_26924	None	pid_104763
None	pid_7982	pid_7375	pid_7891	pid_7981
pid_62157	pid_62160	pid_61692	None	pid_62156
pid_77279	pid_77249	pid_77286	pid_77373	pid_77368
pid_162136;pid_18498;pid_21285;pid_74623	pid_162137;pid_61498	None	None	pid_162135
pid_4928	pid_4936	pid_24952	None	pid_53656
pid_12530	pid_11895	pid_12411	None	pid_53652
pid_71230	pid_71457	pid_71979	None	pid_96117
pid_14444	pid_14437;pid_3125	pid_5292;pid_9802;pid_14650	pid_14657	pid_14645
pid_25011;pid_3114	pid_24893;pid_3119	pid_114370	None	pid_114643
pid_14590	pid_14593	pid_12411	None	pid_14826
None	pid_20401	pid_28366	None	pid_028378
pid_12880;pid_22171	pid_60376	None	None	pid_60375
pid_163430;pid_163435	pid_163439	None	None	pid_163429
pid_166689	pid_166907	pid_166912	None	pid_166906
pid_110815;pid_5721	pid_110778	None	None	pid_110949
pid_40369	pid_40381	pid_40043	None	pid_40469
None	pid_73106	pid_166725	None	pid_166901
pid_33919	pid_33922	pid_33538;pid_9317	None	pid_33918
pid_12775	pid_92952	pid_92936	None	pid_92963
None	pid_287	pid_483	None	pid_0482
pid_142645	pid_142165	pid_141984;pid_90940	None	pid_142644
pid_25011;pid_3114	pid_24893;pid_3119	pid_145637	None	pid_145696
pid_27888;pid_3114	pid_27897;pid_3119	pid_27867	None	pid_27887
None	pid_34750	pid_143683	None	pid_0143682
None	pid_52733	None	pid_109566	pid_0109565
None	pid_85042	None	pid_141446	pid_141732
None	pid_49508	pid_49410	None	pid_049509
pid_64566	pid_141392	pid_917	None	pid_141736
pid_21554;pid_21866;pid_9054	pid_21869	None	None	pid_21865
pid_97993	pid_97995	pid_77562	None	pid_97992
None	pid_55803	pid_121301	None	pid_0121473
None	pid_146338	pid_52424	None	pid_146337
pid_14253;pid_3114	pid_14165;pid_149506;pid_3119	pid_24258	None	pid_149505
pid_83481	pid_83482	pid_12013;pid_12446	None	pid_172505
pid_31819	pid_3125;pid_31965	pid_31972;pid_8546;pid_29270	None	pid_31964
pid_9316	pid_9317	pid_11799	None	pid_36247
None	pid_140013	pid_131874	None	pid_0140015
pid_36538	pid_36163	pid_36447	None	pid_36537
pid_26384	pid_26500;pid_26504;pid_8546	pid_26939	None	pid_27081
pid_131948	pid_132146	pid_12297;pid_132160;pid_132155	None	pid_132145
pid_18495	pid_18498	pid_18248;pid_8672	None	pid_18494
pid_50526	pid_50529	pid_951	None	pid_50876
pid_18574	pid_50655	pid_50583	None	pid_50654
None	pid_87931	pid_140277	pid_140363	pid_140484
pid_132011;pid_139938	pid_139946	None	None	pid_139937
pid_14107	pid_13893	pid_21139	None	pid_71322
None	pid_9822	pid_36115	None	pid_036114
None	pid_20498	pid_131162	None	pid_0131161
pid_36799	pid_52364	pid_80178	None	pid_160199
pid_60131;pid_70822	pid_76930	None	None	pid_76929
pid_52344	pid_52347	pid_35679	None	pid_160192
pid_143600;pid_3114	pid_143304;pid_3119	pid_143301;pid_143333	None	pid_143599
pid_164600;pid_86165	pid_164855	pid_164864	None	pid_164854
pid_12552	pid_96499	pid_143594	None	pid_143590
pid_30522;pid_59180	pid_75024	None	None	pid_75137
pid_65279;pid_65282	pid_22872	None	None	pid_65278
pid_165105	pid_165109;pid_165113	pid_165121	None	pid_165104
None	pid_18151	pid_32925	None	pid_42801
pid_86637;pid_91122	pid_91125	pid_91132	None	pid_91121
pid_9743	pid_9586	pid_160779	None	pid_160775
None	pid_73681	pid_98324	None	pid_99104
pid_88626;pid_99108	pid_98324;pid_98348	None	None	pid_99107
pid_22119	pid_21812	pid_21629	None	pid_22118
None	pid_55836	pid_100547	None	pid_169363
None	pid_165818	pid_90165;pid_122140;pid_84583	None	pid_165817
pid_3464	pid_11799;pid_9379	pid_128220	None	pid_128354
pid_14107	pid_13893	pid_21139	None	pid_165812
None	pid_80776	pid_80778	None	pid_80775
pid_84583;pid_85071	pid_84612	None	None	pid_85070
pid_144882;pid_79477	pid_144907	None	None	pid_144906
pid_134397;pid_56126	pid_134399	None	None	pid_134396
pid_60265;pid_99549	pid_125348	None	None	pid_125423
pid_134461;pid_22007;pid_9145;pid_9148;pid_9337	pid_134462	None	None	pid_134460
pid_52416;pid_60265	pid_125429	None	None	pid_125428
pid_4898;pid_92182	pid_170480	None	None	pid_170629
pid_8546	pid_9317	pid_13913;pid_13915	None	pid_13909
pid_29037;pid_29040;pid_29042	pid_29042;pid_29058;pid_29062	pid_29072	None	pid_29036
pid_37938;pid_45910	pid_45921	None	None	pid_46051
pid_14107	pid_70639	pid_70683	None	pid_70815
None	pid_82868	pid_48161	None	pid_82867
pid_24610;pid_24711	pid_24714	None	None	pid_24710
pid_108906;pid_109053	pid_108961	None	None	pid_109052
pid_15968;pid_16000;pid_16366	pid_16369	None	None	pid_16365
None	pid_49525	pid_49410	None	pid_049527
pid_48161;pid_48398	pid_48401	None	None	pid_48397
pid_107039;pid_60252	pid_107045	None	None	pid_107038
pid_128172	pid_128176	pid_8633	None	pid_128171
pid_14437;pid_3114	pid_26914;pid_3119	pid_14047	None	pid_26913
pid_107032;pid_57763	pid_57790	None	None	pid_107031
pid_42281;pid_42292	pid_42296	pid_25217	None	pid_42280
None	pid_10424	pid_159758	None	pid_0159949
pid_30875;pid_34231	pid_96277	pid_71336	None	pid_96474
pid_106903;pid_58096	pid_107524	None	None	pid_107523
pid_18574	pid_50438	pid_12191	None	pid_147457
pid_129882;pid_129888	pid_129859	None	None	pid_129881
pid_25011;pid_3114	pid_26656;pid_3119	pid_3163	None	pid_156621
pid_164600;pid_34138	pid_164679	None	None	pid_164678
pid_67006	pid_67009	pid_25217	None	pid_67005
pid_91159	pid_113446	pid_102406	None	pid_113445
None	pid_16880	pid_71355	None	pid_071354
pid_123746;pid_123747;pid_123763	pid_124084	None	None	pid_124083
pid_25011;pid_3114	pid_24893;pid_3119	pid_171690	None	pid_171684
pid_112144;pid_112302	pid_112311	None	None	pid_112310
pid_60126	pid_62239	pid_34138;pid_24769	None	pid_62238
pid_42759	pid_32925	None	None	pid_42758
pid_154;pid_159;pid_364;pid_420	pid_154;pid_483;pid_775	None	None	pid_774
pid_60149;pid_96435	pid_126794	None	None	pid_126793
pid_5116	pid_5133;pid_5140	pid_4971	None	pid_5115
pid_71979;pid_96613	pid_96622	pid_71336;pid_30875	None	pid_96612
None	pid_10424	pid_20258	None	pid_020257
pid_68980;pid_68983;pid_7735	pid_68996	None	None	pid_68979
None	pid_164597	pid_164604	None	pid_0164603
pid_78753;pid_9098	pid_79033	None	None	pid_79032
None	pid_7435	pid_7638	None	pid_7636
pid_147857;pid_148064	pid_148038	None	None	pid_148063
pid_126918;pid_145509	pid_145358	None	None	pid_145508
pid_28340;pid_28618	pid_28589	pid_28479	None	pid_28617
pid_21192	pid_20962;pid_21254	pid_21163;pid_21153	None	pid_21253
pid_33480	pid_33467	pid_33486	None	pid_33479
None	pid_88037	pid_87951;pid_72981;pid_18180;pid_30944;pid_74543;pid_87900;pid_73697	pid_88047	pid_88036
pid_30778;pid_33490	pid_85896	None	None	pid_86034
pid_14107	pid_13893	pid_39409	None	pid_39405
pid_34123	pid_34125	pid_34129;pid_34137	None	pid_34122
pid_103610;pid_66956;pid_86642	pid_103612;pid_103618	None	None	pid_103609
None	pid_6610	pid_48161	None	pid_83022
None	pid_28943	pid_85923	None	pid_086177
pid_103601	pid_103207	pid_86642;pid_103203	None	pid_103600
pid_60286;pid_60403	pid_60404	None	None	pid_60402
pid_108807;pid_108877	pid_108882	None	None	pid_108876
pid_103310;pid_103358	pid_103307	None	None	pid_103357
pid_41526	pid_41336	pid_154522	None	pid_154757
None	pid_73235	pid_72906;pid_73240	None	pid_73234
pid_20211;pid_20591;pid_48889	pid_20708	None	None	pid_49283
pid_132115;pid_139998;pid_3114	pid_132121;pid_139998;pid_3119;pid_33703	None	None	pid_140105
None	pid_28943	pid_18614	None	pid_086172
pid_24157;pid_24512	pid_24496	None	None	pid_24511
pid_6610	pid_6613	pid_6619	None	pid_6609
pid_22519	pid_23069	pid_22264;pid_18180	None	pid_23096
pid_34172	pid_114251	pid_92936	None	pid_114250
pid_14105	pid_13890	pid_14063	None	pid_14104
pid_25011;pid_3114	pid_24893;pid_3119	pid_39566	None	pid_114785
pid_13065	pid_114333	pid_114710	None	pid_115103
pid_113809;pid_47719	pid_114556	None	None	pid_114780
pid_97955	pid_97957	pid_77562	pid_18584	pid_97954
pid_104709	pid_104712	pid_104459	None	pid_104708
pid_48888;pid_48966	pid_49136	None	None	pid_49135
pid_28446	pid_27974;pid_3125	pid_119316	None	pid_119311
None	pid_18584	pid_48308	pid_48307	pid_82198
pid_62099	pid_62101	pid_62106	None	pid_62098
pid_9649	pid_160949	pid_4936	None	pid_160948
pid_115789;pid_9236	pid_115793	None	None	pid_115788
pid_25011;pid_3114	pid_26656;pid_3119	pid_114312	None	pid_115109
pid_28446	pid_28443;pid_3125	pid_61786	None	pid_62091
pid_113903;pid_114069	pid_114440	None	None	pid_114439
pid_21284	pid_21285	pid_61474	None	pid_61545
None	pid_73652	pid_73440;pid_72906	None	pid_73651
pid_127038;pid_60149;pid_9290	pid_127049	None	None	pid_127048
pid_42671	pid_42732	None	None	pid_42731
pid_21284	pid_21285	pid_18625	None	pid_122566
pid_12132	pid_12135	pid_30702	None	pid_30978
pid_3114;pid_3121	pid_3110;pid_3119	pid_34684	None	pid_35450
pid_12411;pid_30737	pid_30758	None	None	pid_30972
None	pid_89371	pid_89059	None	pid_89508
None	pid_16221	pid_64566	None	pid_141503
None	pid_96528	pid_172430;pid_74944	None	pid_172713
pid_14303	pid_14271	pid_20556	None	pid_20614
pid_64566	pid_141509	pid_16000;pid_917	None	pid_141508
pid_123747;pid_53593	pid_123965	None	None	pid_123964
None	pid_28251	pid_154484	None	pid_0154531
None	pid_5603	pid_142148	None	pid_0142147
pid_131133	pid_131134	pid_131138	None	pid_131132
pid_94232	pid_94509	pid_93988	None	pid_94508
pid_20792	pid_9586	pid_44628	None	pid_44752
pid_21930	pid_40071	pid_40035	None	pid_40070
pid_9544	pid_9550	None	pid_44628	pid_44757
None	pid_9822	pid_165163	None	pid_0165162
pid_153366	pid_153078	pid_153375	None	pid_153365
None	pid_90902	pid_84111	None	pid_092050
None	pid_10409	pid_33070	None	pid_0125721
None	pid_53511	pid_53513;pid_53515	None	pid_53510
pid_3114;pid_47482	pid_12013;pid_3119	pid_47490	None	pid_47481
pid_42766	pid_42759	None	None	pid_56234
pid_4893;pid_56099	pid_56180	None	None	pid_56238
pid_8699	pid_8701	pid_8576	None	pid_8698
pid_25011;pid_3114	pid_24893;pid_3119	pid_109586	None	pid_109602
pid_18142;pid_18248;pid_9525	pid_18248;pid_18256	None	None	pid_18247
None	pid_158995	pid_158380;pid_151093	None	pid_158994
